Date,Region,Product,Quantity Sold,Revenue,Profit Margin,Customer Age Group,Customer Gender
2023-03-22,East,Electronics,17,446.92,16.69,50+,Female
2023-11-14,North,Furniture,34,463.76,21.5,36-50,Male
2023-04-14,North,Apparel,92,281.88,14.16,50+,Female
2023-12-02,West,Furniture,89,390.72,16.3,18-25,Female
2023-10-04,South,Furniture,50,430.13,6.33,36-50,Female
2023-10-30,West,Groceries,1,254.08,29.24,18-25,Female
2023-09-19,North,Electronics,39,440.75,26.42,50+,Male
2023-05-30,North,Electronics,43,309.89,13.29,50+,Male
2023-01-29,East,Furniture,18,274.69,17.15,36-50,Female
2023-06-12,East,Groceries,92,430.86,5.14,36-50,Female
2023-08-22,South,Apparel,19,420.17,23.08,18-25,Male
2023-01-14,South,Groceries,72,45.28,6.11,50+,Female
2023-02-05,South,Furniture,56,241.46,6.18,26-35,Male
2023-11-08,North,Groceries,78,400.11,13.86,50+,Male
2023-10-10,North,Groceries,6,455.63,12.93,26-35,Female
2023-09-09,North,Furniture,65,38.49,25.11,50+,Female
2023-08-09,South,Electronics,58,181.46,6.82,26-35,Female
2023-06-10,East,Electronics,84,219.27,29.52,26-35,Female
2023-09-10,East,Apparel,5,159.73,5.92,50+,Female
2023-02-12,West,Groceries,66,397.14,17.59,50+,Male
2023-05-24,West,Groceries,71,238.74,9.95,36-50,Female
2023-11-04,East,Groceries,56,353.81,28.22,50+,Male
2023-09-27,East,Furniture,97,69.78,28.5,36-50,Male
2023-07-13,East,Furniture,89,311.38,7.33,26-35,Female
2023-03-18,South,Apparel,40,69.2,5.15,50+,Male
2023-01-14,East,Apparel,47,455.53,11.19,36-50,Male
2023-06-19,North,Electronics,79,161.52,20.72,36-50,Male
2023-07-11,East,Electronics,47,382.06,18.32,36-50,Female
2023-08-16,South,Furniture,77,230.56,19.25,36-50,Male
2023-08-23,South,Groceries,43,413.22,13.16,18-25,Male
2023-11-07,East,Apparel,19,29.12,12.38,18-25,Male
2023-01-21,West,Groceries,29,449.82,9.8,36-50,Female
2023-09-09,South,Electronics,56,20.04,21.65,36-50,Female
2023-03-18,South,Groceries,4,335.32,20.21,36-50,Female
2023-12-06,East,Furniture,8,492.3,13.57,36-50,Female
2023-06-15,South,Apparel,48,250.06,18.85,36-50,Male
2023-01-15,East,Groceries,57,150.91,26.54,26-35,Male
2023-12-23,South,Furniture,11,379.09,12.6,50+,Female
2023-09-27,West,Furniture,10,317.03,29.02,36-50,Male
2023-02-06,East,Furniture,60,298.88,18.73,36-50,Male
2023-05-30,North,Electronics,72,24.3,15.52,50+,Male
2023-09-15,North,Groceries,66,304.53,22.8,36-50,Female
2023-04-24,West,Apparel,51,231.0,21.1,18-25,Male
2023-07-22,North,Electronics,30,267.86,11.1,36-50,Female
2023-05-18,South,Electronics,25,126.53,8.11,18-25,Male
2023-08-31,West,Apparel,70,109.87,19.08,36-50,Female
2023-02-16,North,Electronics,20,191.23,6.75,18-25,Female
2023-05-08,South,Furniture,11,472.87,17.71,36-50,Male
2023-01-03,East,Apparel,67,137.2,29.82,50+,Female
2023-09-23,East,Electronics,5,443.31,13.56,18-25,Female
2023-11-22,South,Groceries,65,308.04,23.54,18-25,Male
2023-07-17,East,Apparel,86,444.0,12.46,50+,Male
2023-12-11,East,Furniture,3,459.46,17.25,18-25,Female
2023-09-04,North,Apparel,86,176.59,21.34,18-25,Male
